ACCURACY,MODEL
0.5,LeNet_binary_crossentropy0.1
0.5,LeNet_binary_crossentropy0.01
0.5,LeNet_mean_squared_error0.1
0.5,LeNet_mean_squared_error0.001
0.5,LeNet_mean_squared_logarithmic_error0.1
0.5,LeNet_mean_squared_logarithmic_error0.01
0.5,LeNet_mean_squared_logarithmic_error0.001
0.5633333325386047,LeNet_binary_crossentropy0.001
0.5699999928474426,LeNet_mean_squared_error0.01
