ACCURACY,MODEL
0.5699999928474426,LeNet_mean_squared_error0.01
0.7233333587646484,10_layer_CNN
0.7333333492279053,5_layer_CNN
0.7833333611488342,cnn_5lyr_rmsprpmean_squared_error0.001
0.7866666913032532,cnn_5lyr_rmsprpmean_squared_logarithmic_error0.001
