,ACCURACY,MODEL
0,0.5,AlexNet_binary_crossentropy_0.1
1,0.5,AlexNet_binary_crossentropy_0.01
2,0.45666668,AlexNet_binary_crossentropy_0.001
3,0.5,AlexNet_mean_squared_error0.1
4,0.5,AlexNet_mean_squared_error0.01
5,0.5,AlexNet_mean_squared_error0.001
6,0.5,AlexNet_mean_squared_logarithmic_error0.1
7,0.5,AlexNet_mean_squared_logarithmic_error0.01
8,0.47833332,AlexNet_mean_squared_logarithmic_error0.001
